pcn,item,onhandqty,last_event,last_dest,last_event_time,suggested_review
9607,ACI-5740,20,PICK,MFG Floor,12/09/25 12:25:35,likely consumed/staged on floor -> verify if on-hand should be 0
11486,7686-25,19,PICK,MFG Floor,02/27/26 10:30:58,likely consumed/staged on floor -> verify if on-hand should be 0
6871,7860-20,19,PICK,MFG Floor,02/02/26 08:42:02,likely consumed/staged on floor -> verify if on-hand should be 0
13960,8095-260,19,PICK,MFG Floor,02/27/26 13:09:01,likely consumed/staged on floor -> verify if on-hand should be 0
13007,8183L-100,19,PICK,MFG Floor,01/27/26 10:28:23,likely consumed/staged on floor -> verify if on-hand should be 0
2641,8008-95,19,PICK,MFG Floor,02/26/26 10:29:54,likely consumed/staged on floor -> verify if on-hand should be 0
11687,6765-25,19,PICK,MFG Floor,03/03/26 09:23:36,likely consumed/staged on floor -> verify if on-hand should be 0
7778,7363L-68,19,PICK,MFG Floor,02/27/26 13:32:40,likely consumed/staged on floor -> verify if on-hand should be 0
21365,8291-90,19,PICK,MFG Floor,02/20/26 10:11:26,likely consumed/staged on floor -> verify if on-hand should be 0
2659,ACI-899,19,PICK,MFG Floor,01/15/26 08:36:06,likely consumed/staged on floor -> verify if on-hand should be 0
6328,8037-5,19,PICK,MFG Floor,02/11/26 10:46:04,likely consumed/staged on floor -> verify if on-hand should be 0
7288,6657-16,18,PICK,MFG Floor,02/04/26 14:24:57,likely consumed/staged on floor -> verify if on-hand should be 0
8274,7762-6,18,PICK,MFG Floor,11/24/25 08:32:43,likely consumed/staged on floor -> verify if on-hand should be 0
29146,8417l-105,18,PICK,MFG Floor,01/27/26 10:28:38,likely consumed/staged on floor -> verify if on-hand should be 0
2575,ACI-843,18,PICK,MFG Floor,09/30/25 14:20:44,likely consumed/staged on floor -> verify if on-hand should be 0
2577,ACI-854,18,PICK,MFG Floor,09/30/25 14:20:56,likely consumed/staged on floor -> verify if on-hand should be 0
2584,ACI-851,18,PICK,MFG Floor,10/01/25 11:14:55,likely consumed/staged on floor -> verify if on-hand should be 0
2651,ACI-892,18,PICK,MFG Floor,01/15/26 08:36:02,likely consumed/staged on floor -> verify if on-hand should be 0
2656,ACI-896,18,PICK,MFG Floor,10/20/25 10:09:48,likely consumed/staged on floor -> verify if on-hand should be 0
19947,8119L-70,18,PTWY,1301105,08/13/25 12:46:24,moved off floor -> location may be stale (real available stock)
3348,ACI-2642,18,PICK,MFG Floor,02/02/26 08:36:42,likely consumed/staged on floor -> verify if on-hand should be 0
23168,8080L-85,18,PICK,MFG Floor,02/25/26 13:30:55,likely consumed/staged on floor -> verify if on-hand should be 0
7755,7363L-2,18,PICK,MFG Floor,02/02/26 10:12:20,likely consumed/staged on floor -> verify if on-hand should be 0
3342,ACI-2658,18,PICK,MFG Floor,02/04/26 14:40:31,likely consumed/staged on floor -> verify if on-hand should be 0
23912,8037-245,18,PICK,MFG Floor,12/16/25 10:09:36,likely consumed/staged on floor -> verify if on-hand should be 0
27931,8433L-410,18,PICK,MFG Floor,03/03/26 12:07:51,likely consumed/staged on floor -> verify if on-hand should be 0
41698,7703ML-3-43,18,PICK,MFG Floor,10/22/25 11:34:07,likely consumed/staged on floor -> verify if on-hand should be 0
6668,8012L-30,18,PICK,MFG Floor,03/03/26 08:27:35,likely consumed/staged on floor -> verify if on-hand should be 0
27971,8433L-160,17,PICK,MFG Floor,03/03/26 11:41:16,likely consumed/staged on floor -> verify if on-hand should be 0
3218,8024L-9,17,PICK,MFG Floor,02/27/26 11:28:31,likely consumed/staged on floor -> verify if on-hand should be 0
13949,8095-385,17,PICK,MFG Floor,02/11/26 11:11:43,likely consumed/staged on floor -> verify if on-hand should be 0
2574,8228L-15,17,PICK,MFG Floor,09/04/25 13:02:40,likely consumed/staged on floor -> verify if on-hand should be 0
6329,7763-8,17,PICK,MFG Floor,02/11/26 10:21:35,likely consumed/staged on floor -> verify if on-hand should be 0
41412,7703ML-3-40,17,PICK,MFG Floor,10/23/25 10:42:47,likely consumed/staged on floor -> verify if on-hand should be 0
38735,6224L-1,17,PTWY,2104503,10/28/25 07:29:25,moved off floor -> location may be stale (real available stock)
29653,8384L-95,17,PICK,MFG Floor,02/27/26 08:30:41,likely consumed/staged on floor -> verify if on-hand should be 0
12286,7880-13,16,PICK,MFG Floor,02/27/26 12:13:28,likely consumed/staged on floor -> verify if on-hand should be 0
3434,7860-29,16,PICK,MFG Floor,02/02/26 08:54:42,likely consumed/staged on floor -> verify if on-hand should be 0
7387,7785-23,16,PICK,MFG Floor,01/19/26 13:45:10,likely consumed/staged on floor -> verify if on-hand should be 0
7075,7860-53,16,PICK,MFG Floor,02/02/26 08:36:53,likely consumed/staged on floor -> verify if on-hand should be 0
6790,8183L-10,16,PICK,MFG Floor,02/25/26 09:01:35,likely consumed/staged on floor -> verify if on-hand should be 0
16578,6753-90,16,PICK,MFG Floor,03/03/26 09:46:18,likely consumed/staged on floor -> verify if on-hand should be 0
17637,7694L-1,16,PICK,MFG Floor,08/13/25 14:55:25,likely consumed/staged on floor -> verify if on-hand should be 0
2704,ACI-931,16,PICK,MFG Floor,10/20/25 09:56:30,likely consumed/staged on floor -> verify if on-hand should be 0
2840,ACI-2242,16,PICK,MFG Floor,12/15/25 15:10:39,likely consumed/staged on floor -> verify if on-hand should be 0
28994,8415M-280,16,PICK,MFG Floor,11/21/25 09:05:21,likely consumed/staged on floor -> verify if on-hand should be 0
2951,ACI-2075,16,PICK,MFG Floor,01/19/26 10:44:06,likely consumed/staged on floor -> verify if on-hand should be 0
11761,3815-12,16,PICK,MFG Floor,03/03/26 09:12:38,likely consumed/staged on floor -> verify if on-hand should be 0
6666,ACI-3915,15,PICK,MFG Floor,03/03/26 08:34:34,likely consumed/staged on floor -> verify if on-hand should be 0
27957,8433L-155,15,PICK,MFG Floor,03/03/26 11:55:28,likely consumed/staged on floor -> verify if on-hand should be 0
27946,8433L-560,15,PICK,MFG Floor,03/03/26 12:07:15,likely consumed/staged on floor -> verify if on-hand should be 0
16988,8249L-160,15,PICK,MFG Floor,02/25/26 13:03:07,likely consumed/staged on floor -> verify if on-hand should be 0
14315,8033-14,15,PTWY,1406602,01/09/26 09:55:34,moved off floor -> location may be stale (real available stock)
16969,8249L-15,15,PICK,MFG Floor,02/26/26 08:44:11,likely consumed/staged on floor -> verify if on-hand should be 0
14942,7996-38,15,PICK,MFG Floor,02/11/26 15:09:00,likely consumed/staged on floor -> verify if on-hand should be 0
16916,8126L-205,15,PICK,MFG Floor,01/09/26 09:59:39,likely consumed/staged on floor -> verify if on-hand should be 0
34343,8594L-1080,15,PICK,MFG Floor,02/04/26 13:57:09,likely consumed/staged on floor -> verify if on-hand should be 0
27570,8446l-70,15,PTWY,1501203,02/05/26 10:32:59,moved off floor -> location may be stale (real available stock)
2735,ACI-965,15,PICK,MFG Floor,10/20/25 10:09:42,likely consumed/staged on floor -> verify if on-hand should be 0
27248,8112L-625,15,PICK,MFG Floor,02/12/26 13:04:34,likely consumed/staged on floor -> verify if on-hand should be 0
11101,8137L-220,15,PICK,MFG Floor,02/26/26 10:50:45,likely consumed/staged on floor -> verify if on-hand should be 0
2709,7582l-3,15,PTWY,1403008,08/29/25 11:16:14,moved off floor -> location may be stale (real available stock)
15944,8138M-70,15,PICK,MFG Floor,02/02/26 13:00:20,likely consumed/staged on floor -> verify if on-hand should be 0
30797,7595-2,15,PTWY,1301401,08/20/25 14:19:25,moved off floor -> location may be stale (real available stock)
4012,8025-62,15,PICK,MFG Floor,02/27/26 10:30:44,likely consumed/staged on floor -> verify if on-hand should be 0
12188,8141M-255,15,PICK,MFG Floor,03/03/26 09:17:44,likely consumed/staged on floor -> verify if on-hand should be 0
6305,8001-35,15,PICK,MFG Floor,02/11/26 11:19:45,likely consumed/staged on floor -> verify if on-hand should be 0
4227,7700-2,15,PICK,MFG Floor,02/09/26 09:28:57,likely consumed/staged on floor -> verify if on-hand should be 0
29157,8417l-110,15,PICK,MFG Floor,01/27/26 10:28:35,likely consumed/staged on floor -> verify if on-hand should be 0
29095,8452-100,15,PICK,MFG Floor,02/02/26 09:04:46,likely consumed/staged on floor -> verify if on-hand should be 0
13048,8207M -250,15,PICK,MFG Floor,02/09/26 11:45:01,likely consumed/staged on floor -> verify if on-hand should be 0
13344,8181-230,15,PICK,MFG Floor,10/28/25 13:16:14,likely consumed/staged on floor -> verify if on-hand should be 0
8586,8594ML-60,15,PTWY,2205102,06/10/25 13:58:38,moved off floor -> location may be stale (real available stock)
19660,6753-3,15,PICK,MFG Floor,10/28/25 12:49:57,likely consumed/staged on floor -> verify if on-hand should be 0
6516,8764L-280,15,PTWY,1301704,09/15/25 08:46:06,moved off floor -> location may be stale (real available stock)
4760,7691-15,15,PICK,MFG Floor,09/16/25 15:20:09,likely consumed/staged on floor -> verify if on-hand should be 0
9609,ACI-5737,15,PICK,MFG Floor,12/09/25 12:26:15,likely consumed/staged on floor -> verify if on-hand should be 0
20309,8228L-15,15,PICK,MFG Floor,09/04/25 14:05:01,likely consumed/staged on floor -> verify if on-hand should be 0
23442,8342ML-130,15,PICK,MFG Floor,10/07/25 14:45:31,likely consumed/staged on floor -> verify if on-hand should be 0
38162,7396-395,15,PICK,MFG Floor,02/16/26 08:20:20,likely consumed/staged on floor -> verify if on-hand should be 0
2878,ACI-2293,15,PICK,MFG Floor,02/25/26 10:02:35,likely consumed/staged on floor -> verify if on-hand should be 0
38763,8119L-130,15,PICK,MFG Floor,10/01/25 11:16:10,likely consumed/staged on floor -> verify if on-hand should be 0
39189,8764L-310,15,PTWY,1604003,09/15/25 08:52:54,moved off floor -> location may be stale (real available stock)
43574,8766L-50,15,PTWY,1406507,01/09/26 08:58:00,moved off floor -> location may be stale (real available stock)
4677,ACI-3831,15,PICK,MFG Floor,10/28/25 12:50:11,likely consumed/staged on floor -> verify if on-hand should be 0
6259,8200-50,15,PICK,MFG Floor,10/20/25 09:38:33,likely consumed/staged on floor -> verify if on-hand should be 0
19674,8199-500,15,PICK,MFG Floor,12/17/25 11:58:39,likely consumed/staged on floor -> verify if on-hand should be 0
28199,8169M-475,14,PICK,MFG Floor,02/17/26 10:01:14,likely consumed/staged on floor -> verify if on-hand should be 0
15914,ACI-4589,14,PICK,MFG Floor,02/26/26 10:29:58,likely consumed/staged on floor -> verify if on-hand should be 0
23470,8342ML-35,14,PICK,MFG Floor,02/25/26 12:00:46,likely consumed/staged on floor -> verify if on-hand should be 0
11181,7932L-8,14,PICK,MFG Floor,02/27/26 07:32:24,likely consumed/staged on floor -> verify if on-hand should be 0
18779,6463-65,14,PTWY,1403012,09/02/25 13:38:26,moved off floor -> location may be stale (real available stock)
17438,8167M-100,14,PICK,MFG Floor,01/15/26 09:59:06,likely consumed/staged on floor -> verify if on-hand should be 0
28680,7343-135,14,PICK,MFG Floor,02/25/26 11:36:57,likely consumed/staged on floor -> verify if on-hand should be 0
3312,ACI-2599,14,PICK,MFG Floor,01/30/26 11:09:06,likely consumed/staged on floor -> verify if on-hand should be 0
2957,ACI-2322,14,PICK,MFG Floor,01/20/26 11:25:26,likely consumed/staged on floor -> verify if on-hand should be 0
2950,ACI-2066,14,PICK,MFG Floor,01/19/26 10:43:46,likely consumed/staged on floor -> verify if on-hand should be 0
12690,7734-110,14,PICK,MFG Floor,01/15/26 07:58:42,likely consumed/staged on floor -> verify if on-hand should be 0
12691,8141M-280,14,PICK,MFG Floor,01/15/26 08:49:02,likely consumed/staged on floor -> verify if on-hand should be 0
4660,ACI-3836,14,PICK,MFG Floor,02/02/26 08:56:24,likely consumed/staged on floor -> verify if on-hand should be 0
4362,8095-290,14,PICK,MFG Floor,02/27/26 13:28:17,likely consumed/staged on floor -> verify if on-hand should be 0
6612,7682-28,14,PICK,MFG Floor,10/01/25 12:01:32,likely consumed/staged on floor -> verify if on-hand should be 0
7293,6655-3,14,PICK,MFG Floor,02/04/26 14:41:33,likely consumed/staged on floor -> verify if on-hand should be 0
27649,8433L-150,14,PICK,MFG Floor,03/03/26 12:38:29,likely consumed/staged on floor -> verify if on-hand should be 0
7074,7860-29,14,PICK,MFG Floor,02/02/26 08:44:10,likely consumed/staged on floor -> verify if on-hand should be 0
36932,7703ML-1-27,13,PTWY,1403002,02/27/26 09:54:31,moved off floor -> location may be stale (real available stock)
8440,7183L-2,13,PICK,MFG Floor,10/01/25 13:47:58,likely consumed/staged on floor -> verify if on-hand should be 0
30774,7996-43,13,PICK,MFG Floor,12/17/25 10:08:21,likely consumed/staged on floor -> verify if on-hand should be 0
11760,3815-11,13,PICK,MFG Floor,03/03/26 09:17:19,likely consumed/staged on floor -> verify if on-hand should be 0
8504,7734-10,13,PICK,MFG Floor,02/09/26 08:27:05,likely consumed/staged on floor -> verify if on-hand should be 0
6709,8041-12,13,PICK,MFG Floor,02/27/26 09:51:25,likely consumed/staged on floor -> verify if on-hand should be 0
27802,8433L-145,13,PICK,MFG Floor,03/03/26 09:56:43,likely consumed/staged on floor -> verify if on-hand should be 0
7362,7158-13,13,PICK,MFG Floor,09/25/25 09:27:58,likely consumed/staged on floor -> verify if on-hand should be 0
18794,6463-195,13,PTWY,1301505,09/02/25 13:38:58,moved off floor -> location may be stale (real available stock)
2585,ACI-846,12,PICK,MFG Floor,09/30/25 14:20:23,likely consumed/staged on floor -> verify if on-hand should be 0
4579,ACI-3735,12,PICK,MFG Floor,12/12/25 12:37:48,likely consumed/staged on floor -> verify if on-hand should be 0
6736,8054-9,12,PICK,MFG Floor,02/27/26 10:30:54,likely consumed/staged on floor -> verify if on-hand should be 0
28132,8433L-135,12,PICK,MFG Floor,03/03/26 11:55:09,likely consumed/staged on floor -> verify if on-hand should be 0
27243,8112L-705,12,PICK,MFG Floor,02/12/26 11:31:00,likely consumed/staged on floor -> verify if on-hand should be 0
7059,7084-6,12,PICK,MFG Floor,01/15/26 12:19:43,likely consumed/staged on floor -> verify if on-hand should be 0
5651,7605-5,12,PICK,MFG Floor,03/03/26 13:09:34,likely consumed/staged on floor -> verify if on-hand should be 0
6700,8041-5,12,PICK,MFG Floor,02/27/26 09:51:21,likely consumed/staged on floor -> verify if on-hand should be 0
13996,7785-69,12,PICK,MFG Floor,01/20/26 11:24:16,likely consumed/staged on floor -> verify if on-hand should be 0
32565,8210-10,12,PICK,MFG Floor,02/04/26 13:57:02,likely consumed/staged on floor -> verify if on-hand should be 0
27284,8112L-45,12,PICK,MFG Floor,02/12/26 11:31:07,likely consumed/staged on floor -> verify if on-hand should be 0
3250,ACI-2563,12,PICK,MFG Floor,02/04/26 14:40:21,likely consumed/staged on floor -> verify if on-hand should be 0
28717,8448L-110,12,PICK,MFG Floor,02/26/26 07:34:27,likely consumed/staged on floor -> verify if on-hand should be 0
12331,8148L-50,12,PICK,MFG Floor,12/17/25 10:08:29,likely consumed/staged on floor -> verify if on-hand should be 0
3306,7880-14,12,PICK,MFG Floor,02/27/26 12:13:43,likely consumed/staged on floor -> verify if on-hand should be 0
11696,8123M-270,12,PICK,MFG Floor,03/03/26 09:12:54,likely consumed/staged on floor -> verify if on-hand should be 0
41003,7396-110,12,PICK,MFG Floor,12/03/25 11:30:32,likely consumed/staged on floor -> verify if on-hand should be 0
5013,8054-16,12,PICK,MFG Floor,02/27/26 09:50:42,likely consumed/staged on floor -> verify if on-hand should be 0
2963,ACI-2061,12,PICK,MFG Floor,01/20/26 11:25:17,likely consumed/staged on floor -> verify if on-hand should be 0
27092,7124-5,12,PICK,MFG Floor,02/25/26 14:20:00,likely consumed/staged on floor -> verify if on-hand should be 0
2787,ACI-855,12,PICK,MFG Floor,10/20/25 10:09:33,likely consumed/staged on floor -> verify if on-hand should be 0
19700,8199-510,12,PICK,MFG Floor,12/17/25 11:58:27,likely consumed/staged on floor -> verify if on-hand should be 0
31038,6932L-13,12,PICK,MFG Floor,02/11/26 13:09:22,likely consumed/staged on floor -> verify if on-hand should be 0
15275,7848-11,12,PICK,MFG Floor,01/20/26 11:25:00,likely consumed/staged on floor -> verify if on-hand should be 0
4415,8148L-115,12,PICK,MFG Floor,10/09/25 13:03:26,likely consumed/staged on floor -> verify if on-hand should be 0
23972,8415M-310,12,PICK,MFG Floor,11/21/25 09:05:06,likely consumed/staged on floor -> verify if on-hand should be 0
15825,8138M-145,12,PICK,MFG Floor,02/26/26 11:12:36,likely consumed/staged on floor -> verify if on-hand should be 0
6778,8142M-260,12,PICK,MFG Floor,01/14/26 07:25:22,likely consumed/staged on floor -> verify if on-hand should be 0
6640,8024L-28,12,PICK,MFG Floor,10/06/25 12:27:36,likely consumed/staged on floor -> verify if on-hand should be 0
21966,8325-5,12,PICK,MFG Floor,01/20/26 11:24:33,likely consumed/staged on floor -> verify if on-hand should be 0
11739,7547-50,11,PICK,MFG Floor,03/03/26 09:23:46,likely consumed/staged on floor -> verify if on-hand should be 0
17188,8258L-240,11,PICK,MFG Floor,10/01/25 13:47:54,likely consumed/staged on floor -> verify if on-hand should be 0
12189,7734-120,11,PICK,MFG Floor,03/03/26 09:23:52,likely consumed/staged on floor -> verify if on-hand should be 0
6872,7860-46,11,PICK,MFG Floor,02/11/26 11:13:41,likely consumed/staged on floor -> verify if on-hand should be 0
18795,6463-240,11,PTWY,1406504,12/19/25 13:34:26,moved off floor -> location may be stale (real available stock)
12085,7451-26,11,PICK,MFG Floor,02/17/26 10:10:07,likely consumed/staged on floor -> verify if on-hand should be 0
6808,7157-32,11,PICK,MFG Floor,02/11/26 10:21:44,likely consumed/staged on floor -> verify if on-hand should be 0
7382,8063L-31,11,PICK,MFG Floor,09/25/25 09:25:28,likely consumed/staged on floor -> verify if on-hand should be 0
7757,7393-35,11,PICK,MFG Floor,02/26/26 10:45:47,likely consumed/staged on floor -> verify if on-hand should be 0
3125,7694L-8,11,PICK,MFG Floor,10/20/25 09:01:37,likely consumed/staged on floor -> verify if on-hand should be 0
3429,7157-29,11,PICK,MFG Floor,02/11/26 10:21:31,likely consumed/staged on floor -> verify if on-hand should be 0
6787,8183L-150,11,PICK,MFG Floor,01/27/26 10:28:19,likely consumed/staged on floor -> verify if on-hand should be 0
2711,ACI-914,11,PICK,MFG Floor,02/26/26 08:19:12,likely consumed/staged on floor -> verify if on-hand should be 0
15476,8177M-160,11,PICK,MFG Floor,01/20/26 11:24:42,likely consumed/staged on floor -> verify if on-hand should be 0
12614,8171L-335,11,PICK,MFG Floor,03/03/26 09:48:33,likely consumed/staged on floor -> verify if on-hand should be 0
8519,7984-115,11,PICK,MFG Floor,01/15/26 09:59:21,likely consumed/staged on floor -> verify if on-hand should be 0
15095,8266L-35,11,PICK,MFG Floor,12/17/25 14:17:01,likely consumed/staged on floor -> verify if on-hand should be 0
3338,ACI-2634,11,PICK,MFG Floor,01/30/26 10:27:05,likely consumed/staged on floor -> verify if on-hand should be 0
12401,7734-150,11,PICK,MFG Floor,09/04/25 13:45:29,likely consumed/staged on floor -> verify if on-hand should be 0
3739,7860-10,11,PICK,MFG Floor,01/15/26 12:20:06,likely consumed/staged on floor -> verify if on-hand should be 0
2954,ACI-2074,10,PICK,MFG Floor,01/23/26 14:13:43,likely consumed/staged on floor -> verify if on-hand should be 0
19676,8304-125,10,PICK,MFG Floor,12/17/25 11:57:55,likely consumed/staged on floor -> verify if on-hand should be 0
19647,8295-80,10,PICK,MFG Floor,09/04/25 14:04:57,likely consumed/staged on floor -> verify if on-hand should be 0
19643,8199-40,10,PICK,MFG Floor,12/17/25 11:58:12,likely consumed/staged on floor -> verify if on-hand should be 0
20396,6753-99,10,PICK,MFG Floor,10/28/25 14:19:32,likely consumed/staged on floor -> verify if on-hand should be 0
20402,6753L-1,10,PICK,MFG Floor,09/02/25 09:26:05,likely consumed/staged on floor -> verify if on-hand should be 0
19236,8261L-20,10,PICK,MFG Floor,02/25/26 13:02:57,likely consumed/staged on floor -> verify if on-hand should be 0
21358,8291-230,10,PICK,MFG Floor,02/20/26 11:23:52,likely consumed/staged on floor -> verify if on-hand should be 0
21360,8291-55,10,PICK,MFG Floor,02/20/26 11:06:22,likely consumed/staged on floor -> verify if on-hand should be 0
21362,8291-330,10,PICK,MFG Floor,02/20/26 10:28:04,likely consumed/staged on floor -> verify if on-hand should be 0
21363,7996-51,10,PICK,MFG Floor,10/06/25 14:21:15,likely consumed/staged on floor -> verify if on-hand should be 0
21372,8291-155,10,PICK,MFG Floor,02/20/26 10:15:18,likely consumed/staged on floor -> verify if on-hand should be 0
21374,8291-195,10,PICK,MFG Floor,02/20/26 10:15:25,likely consumed/staged on floor -> verify if on-hand should be 0
21375,8291-150,10,PICK,MFG Floor,02/20/26 08:12:27,likely consumed/staged on floor -> verify if on-hand should be 0
21376,8291-95,10,PICK,MFG Floor,02/20/26 10:33:01,likely consumed/staged on floor -> verify if on-hand should be 0
5717,8012L-41,10,PICK,MFG Floor,09/16/25 15:20:17,likely consumed/staged on floor -> verify if on-hand should be 0
21378,8291-145,10,PICK,MFG Floor,02/20/26 10:12:15,likely consumed/staged on floor -> verify if on-hand should be 0
21380,8291-250,10,PICK,MFG Floor,02/20/26 10:33:05,likely consumed/staged on floor -> verify if on-hand should be 0
19014,8266L-170,10,PICK,MFG Floor,12/17/25 12:09:07,likely consumed/staged on floor -> verify if on-hand should be 0
18888,8249L-145,10,PICK,MFG Floor,09/15/25 15:14:28,likely consumed/staged on floor -> verify if on-hand should be 0
21391,8291-115,10,PICK,MFG Floor,02/20/26 07:56:59,likely consumed/staged on floor -> verify if on-hand should be 0
21393,8291-225,10,PICK,MFG Floor,02/20/26 11:24:02,likely consumed/staged on floor -> verify if on-hand should be 0
21539,8291-235,10,PICK,MFG Floor,02/20/26 07:57:55,likely consumed/staged on floor -> verify if on-hand should be 0
11180,7932L-2,10,PICK,MFG Floor,02/26/26 10:45:39,likely consumed/staged on floor -> verify if on-hand should be 0
21551,8291-110,10,PICK,MFG Floor,02/20/26 11:06:17,likely consumed/staged on floor -> verify if on-hand should be 0
21620,8292-105,10,PICK,MFG Floor,09/04/25 13:45:06,likely consumed/staged on floor -> verify if on-hand should be 0
10427,8060M-14,10,PICK,MFG Floor,09/30/25 12:20:28,likely consumed/staged on floor -> verify if on-hand should be 0
22038,7984-70,10,PICK,MFG Floor,09/25/25 09:30:48,likely consumed/staged on floor -> verify if on-hand should be 0
22141,7984-55,10,PICK,MFG Floor,09/25/25 09:31:17,likely consumed/staged on floor -> verify if on-hand should be 0
8083,7907LB-9,10,PICK,MFG Floor,08/15/25 12:38:41,likely consumed/staged on floor -> verify if on-hand should be 0
5148,7839L-29,10,PICK,MFG Floor,01/14/26 08:56:51,likely consumed/staged on floor -> verify if on-hand should be 0
6317,8024L-80,10,PICK,MFG Floor,02/11/26 10:45:11,likely consumed/staged on floor -> verify if on-hand should be 0
22937,7092-30,10,PICK,MFG Floor,02/02/26 13:00:00,likely consumed/staged on floor -> verify if on-hand should be 0
9598,ACI-5741,10,PICK,MFG Floor,12/09/25 12:26:19,likely consumed/staged on floor -> verify if on-hand should be 0
6517,8012L-13,10,PICK,MFG Floor,02/09/26 10:26:22,likely consumed/staged on floor -> verify if on-hand should be 0
23455,7848-12,10,PICK,MFG Floor,10/10/25 13:44:40,likely consumed/staged on floor -> verify if on-hand should be 0
2376,ACI-723,10,PICK,MFG Floor,09/18/25 09:29:03,likely consumed/staged on floor -> verify if on-hand should be 0
2378,ACI-692,10,PICK,MFG Floor,09/18/25 09:08:35,likely consumed/staged on floor -> verify if on-hand should be 0
6618,8024L-86,10,PICK,MFG Floor,01/15/26 12:24:33,likely consumed/staged on floor -> verify if on-hand should be 0
2412,ACI-724,10,PICK,MFG Floor,09/18/25 09:28:50,likely consumed/staged on floor -> verify if on-hand should be 0
24300,6590L-27,10,PICK,MFG Floor,09/15/25 14:30:55,likely consumed/staged on floor -> verify if on-hand should be 0
24423,8328-160,10,PICK,MFG Floor,10/20/25 10:30:27,likely consumed/staged on floor -> verify if on-hand should be 0
6655,8012L-38,10,PICK,MFG Floor,10/06/25 12:27:18,likely consumed/staged on floor -> verify if on-hand should be 0
4667,ACI-3820,10,PICK,MFG Floor,10/28/25 12:50:05,likely consumed/staged on floor -> verify if on-hand should be 0
17001,8266L-100,10,PICK,MFG Floor,12/17/25 12:09:02,likely consumed/staged on floor -> verify if on-hand should be 0
2565,ACI-838,10,PICK,MFG Floor,01/14/26 14:20:50,likely consumed/staged on floor -> verify if on-hand should be 0
6691,8012L-7,10,PICK,MFG Floor,01/15/26 12:24:41,likely consumed/staged on floor -> verify if on-hand should be 0
4540,ACI-3671,10,PICK,MFG Floor,01/30/26 10:27:29,likely consumed/staged on floor -> verify if on-hand should be 0
4538,ACI-3669,10,PICK,MFG Floor,12/12/25 12:39:09,likely consumed/staged on floor -> verify if on-hand should be 0
15814,8262-135,10,PICK,MFG Floor,10/01/25 11:16:01,likely consumed/staged on floor -> verify if on-hand should be 0
2692,8054-3,10,PICK,MFG Floor,02/27/26 09:50:51,likely consumed/staged on floor -> verify if on-hand should be 0
9597,ACI-5728,10,PICK,MFG Floor,12/09/25 12:25:39,likely consumed/staged on floor -> verify if on-hand should be 0
15796,8262-125,10,PICK,MFG Floor,10/01/25 11:15:23,likely consumed/staged on floor -> verify if on-hand should be 0
9252,7907LB-12,10,PICK,MFG Floor,02/05/26 09:46:56,likely consumed/staged on floor -> verify if on-hand should be 0
6845,7957ML-35,10,PICK,MFG Floor,02/25/26 10:28:21,likely consumed/staged on floor -> verify if on-hand should be 0
8422,NASA-8,10,PICK,MFG Floor,03/03/26 08:33:35,likely consumed/staged on floor -> verify if on-hand should be 0
15735,8230ML-190,10,PICK,MFG Floor,09/17/25 07:13:47,likely consumed/staged on floor -> verify if on-hand should be 0
4496,ACI-3703,10,PICK,MFG Floor,01/30/26 10:27:38,likely consumed/staged on floor -> verify if on-hand should be 0
27402,8148L-130,10,PICK,MFG Floor,12/17/25 10:08:08,likely consumed/staged on floor -> verify if on-hand should be 0
27638,8443L-180,10,PICK,MFG Floor,03/03/26 13:05:13,likely consumed/staged on floor -> verify if on-hand should be 0
27920,8433L-190,10,PICK,MFG Floor,03/03/26 12:07:22,likely consumed/staged on floor -> verify if on-hand should be 0
27921,8433L-330,10,PICK,MFG Floor,03/03/26 11:41:06,likely consumed/staged on floor -> verify if on-hand should be 0
11492,7686-36,10,PICK,MFG Floor,02/11/26 11:09:48,likely consumed/staged on floor -> verify if on-hand should be 0
7767,7363L-18,10,PICK,MFG Floor,08/27/25 11:34:34,likely consumed/staged on floor -> verify if on-hand should be 0
4346,ACI-3551,10,PICK,MFG Floor,09/04/25 14:50:58,likely consumed/staged on floor -> verify if on-hand should be 0
28127,8433L-140,10,PICK,MFG Floor,03/03/26 11:40:49,likely consumed/staged on floor -> verify if on-hand should be 0
13835,7681L-85,10,PICK,MFG Floor,02/09/26 11:19:23,likely consumed/staged on floor -> verify if on-hand should be 0
2859,ACI-2267,10,PICK,MFG Floor,01/15/26 09:58:53,likely consumed/staged on floor -> verify if on-hand should be 0
2862,ACI-2275,10,PICK,MFG Floor,02/25/26 09:22:38,likely consumed/staged on floor -> verify if on-hand should be 0
2873,ACI-2263,10,PICK,MFG Floor,02/25/26 10:02:42,likely consumed/staged on floor -> verify if on-hand should be 0
13803,8208M-20,10,PICK,MFG Floor,02/09/26 11:46:38,likely consumed/staged on floor -> verify if on-hand should be 0
13783,8208M-280,10,PICK,MFG Floor,11/07/25 11:57:16,likely consumed/staged on floor -> verify if on-hand should be 0
9595,ACI-5739,10,PICK,MFG Floor,12/09/25 12:25:46,likely consumed/staged on floor -> verify if on-hand should be 0
8534,7984-65,10,PICK,MFG Floor,01/14/26 07:25:31,likely consumed/staged on floor -> verify if on-hand should be 0
13342,8181-460,10,PICK,MFG Floor,10/28/25 13:16:08,likely consumed/staged on floor -> verify if on-hand should be 0
